time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm)
2023-01-01,11.2,8.0,9.8,0.10
2023-01-02,11.1,9.2,10.2,0.00
2023-01-03,10.1,8.5,9.4,1.70
2023-01-04,11.5,2.9,7.1,0.00
2023-01-05,12.1,1.8,6.0,0.00
2023-01-06,9.5,1.5,5.7,0.00
2023-01-07,8.2,3.4,6.1,0.00
2023-01-08,7.5,5.1,6.5,29.70
2023-01-09,10.8,0.6,6.3,1.20
2023-01-10,10.9,-0.9,3.3,0.00
2023-01-11,9.9,-1.2,4.5,0.30
2023-01-12,10.2,-1.8,4.3,0.00
2023-01-13,9.2,-0.7,3.5,0.00
2023-01-14,9.4,-1.2,4.2,0.00
2023-01-15,7.7,1.1,5.0,0.40
2023-01-16,5.8,-2.5,2.9,3.10
2023-01-17,4.3,-0.4,2.7,4.70
2023-01-18,6.4,-1.6,2.7,0.10
2023-01-19,3.1,-1.3,0.8,2.40
2023-01-20,5.4,-3.5,-0.2,0.10
2023-01-21,6.9,-3.4,0.5,0.00
2023-01-22,7.4,-2.9,1.7,0.00
2023-01-23,4.4,-2.0,1.2,3.00
2023-01-24,9.6,-1.8,3.8,0.50
2023-01-25,8.3,-1.2,4.7,0.00
2023-01-26,5.6,1.2,3.3,0.20
2023-01-27,3.9,1.3,2.3,0.50
2023-01-28,6.7,-1.9,2.7,0.40
2023-01-29,6.4,-2.4,2.9,0.00
2023-01-30,8.4,-3.2,1.7,0.00
2023-01-31,9.2,-2.3,2.5,0.00
2023-02-01,11.8,-2.3,3.0,0.00
2023-02-02,12.8,-1.0,4.2,0.00
2023-02-03,12.6,0.3,4.9,0.00
2023-02-04,15.7,1.6,6.6,0.00
2023-02-05,7.3,1.5,3.8,0.10
2023-02-06,3.1,0.7,1.9,0.30
2023-02-07,5.6,-1.6,1.3,0.00
2023-02-08,3.0,-1.8,0.5,0.00
2023-02-09,2.6,-1.8,0.2,0.00
2023-02-10,5.9,-3.4,0.8,0.00
2023-02-11,8.8,-3.5,1.4,0.00
2023-02-12,12.5,-2.1,4.6,0.00
2023-02-13,10.7,-1.8,4.6,0.00
2023-02-14,13.6,-2.3,4.5,0.00
2023-02-15,14.3,-1.5,6.0,0.00
2023-02-16,12.3,-0.3,5.4,0.00
2023-02-17,12.4,-1.9,5.2,0.00
2023-02-18,13.3,0.8,6.4,0.00
2023-02-19,13.6,1.5,7.6,0.00
2023-02-20,12.2,2.6,7.1,0.00
2023-02-21,11.8,1.3,7.0,0.00
2023-02-22,12.4,5.5,9.3,0.00
2023-02-23,11.9,8.1,9.7,0.00
2023-02-24,12.5,7.6,9.7,1.70
2023-02-25,14.7,3.8,9.1,0.20
2023-02-26,4.1,0.7,2.6,12.80
2023-02-27,4.2,-1.2,1.7,1.80
2023-02-28,7.5,0.3,3.7,0.00
2023-03-01,6.7,-2.2,2.6,3.90
2023-03-02,11.0,2.7,6.3,0.40
2023-03-03,12.3,-0.5,6.0,0.00
2023-03-04,13.4,-0.4,7.3,0.20
2023-03-05,13.2,-1.0,6.7,0.00
2023-03-06,10.4,3.2,6.7,0.20
2023-03-07,11.5,0.6,6.6,0.00
2023-03-08,12.4,0.7,7.3,0.00
2023-03-09,16.4,6.0,11.1,0.20
2023-03-10,14.8,6.3,10.5,0.70
2023-03-11,18.3,3.0,10.2,0.30
2023-03-12,14.0,4.9,9.5,1.00
2023-03-13,13.8,2.5,9.1,1.70
2023-03-14,13.0,6.5,9.8,13.10
2023-03-15,13.3,2.0,7.9,0.00
2023-03-16,12.2,-0.2,6.5,0.00
2023-03-17,12.3,0.9,7.0,0.00
2023-03-18,14.2,1.4,8.6,0.00
2023-03-19,13.7,5.1,10.0,0.00
2023-03-20,15.0,2.7,10.3,0.00
2023-03-21,16.9,4.9,11.7,0.00
2023-03-22,18.3,5.1,12.7,0.00
2023-03-23,17.4,5.9,12.1,0.00
2023-03-24,15.6,7.3,11.8,0.40
2023-03-25,18.3,6.4,13.0,0.50
2023-03-26,14.9,4.3,9.4,2.20
2023-03-27,15.6,2.6,8.9,0.10
2023-03-28,14.0,0.6,8.1,0.00
2023-03-29,15.7,2.4,9.5,0.00
2023-03-30,14.4,5.6,10.5,0.70
2023-03-31,12.7,6.7,10.2,1.00
2023-04-01,18.0,2.5,10.7,0.00
2023-04-02,16.1,4.0,10.2,1.40
2023-04-03,13.7,2.8,8.9,4.40
