time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
1940-01-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1940-01-02,10.5,5.9,8.0,0.10,0.10,0.00,4.75,0.86
1940-01-03,12.3,8.4,10.4,0.40,0.40,0.00,4.99,1.24
1940-01-04,15.2,11.5,12.9,8.60,8.60,0.00,4.99,0.69
1940-01-05,14.6,10.4,12.3,1.90,1.90,0.00,8.30,1.13
1940-01-06,13.8,9.5,11.1,0.10,0.10,0.00,7.81,1.16
1940-01-07,12.3,6.7,9.2,0.00,0.00,0.00,8.96,1.11
1940-01-08,12.8,5.0,8.5,0.00,0.00,0.00,8.54,1.16
1940-01-09,11.3,7.5,9.3,2.90,2.90,0.00,2.71,0.60
1940-01-10,10.1,5.5,8.1,0.50,0.50,0.00,7.32,1.16
1940-01-11,7.8,2.3,5.1,5.70,5.70,0.00,4.92,0.67
1940-01-12,10.7,4.4,7.4,0.00,0.00,0.00,9.24,1.33
1940-01-13,12.4,9.1,10.5,0.30,0.30,0.00,6.49,1.61
1940-01-14,11.7,10.2,10.8,12.30,12.30,0.00,2.69,0.61
1940-01-15,12.1,9.0,10.6,8.00,8.00,0.00,5.46,0.89
1940-01-16,11.4,7.9,9.3,0.00,0.00,0.00,9.83,1.83
1940-01-17,10.2,7.0,8.4,4.60,4.60,0.00,7.48,1.09
1940-01-18,7.4,1.9,3.4,3.20,3.00,0.14,9.90,1.27
1940-01-19,6.8,1.9,4.2,1.90,1.50,0.28,9.22,1.91
1940-01-20,9.5,4.0,5.9,5.30,5.20,0.07,8.37,1.13
1940-01-21,7.3,2.7,4.9,0.30,0.30,0.00,8.37,1.68
1940-01-22,11.9,4.3,7.9,5.90,5.90,0.00,5.55,1.08
1940-01-23,9.0,4.9,6.5,11.50,11.50,0.00,3.82,0.72
1940-01-24,8.6,6.2,6.9,2.70,2.70,0.00,5.59,1.20
1940-01-25,10.7,4.7,7.5,0.00,0.00,0.00,6.77,1.22
1940-01-26,11.8,7.3,9.2,0.00,0.00,0.00,8.71,1.56
1940-01-27,12.4,4.9,8.5,0.00,0.00,0.00,10.50,1.40
1940-01-28,13.5,7.7,10.9,1.00,1.00,0.00,9.33,1.38
1940-01-29,12.5,8.1,9.8,0.60,0.60,0.00,6.62,0.98
1940-01-30,12.4,9.1,10.2,8.70,8.70,0.00,5.45,0.80
1940-01-31,13.0,6.3,9.9,0.30,0.30,0.00,9.34,1.25
1940-02-01,15.7,9.2,12.1,0.00,0.00,0.00,8.35,1.26
1940-02-02,14.8,9.6,11.7,0.00,0.00,0.00,9.26,1.25
1940-02-03,16.4,7.4,11.0,0.00,0.00,0.00,12.35,1.75
1940-02-04,14.3,9.0,11.5,1.60,1.60,0.00,9.14,1.32
1940-02-05,14.0,11.0,12.3,5.70,5.70,0.00,6.97,1.02
1940-02-06,14.3,10.5,12.2,2.00,2.00,0.00,8.96,1.20
1940-02-07,15.0,8.6,11.0,0.00,0.00,0.00,10.96,1.53
1940-02-08,14.6,8.5,10.9,0.00,0.00,0.00,10.25,1.39
1940-02-09,14.9,8.5,11.5,0.00,0.00,0.00,12.25,1.58
1940-02-10,14.5,10.3,12.2,0.00,0.00,0.00,10.60,1.61
1940-02-11,12.5,9.6,10.9,0.00,0.00,0.00,11.35,1.91
1940-02-12,13.6,9.1,10.9,0.00,0.00,0.00,10.74,1.64
1940-02-13,12.5,5.8,9.8,0.00,0.00,0.00,10.13,1.80
1940-02-14,5.2,2.7,3.7,0.30,0.30,0.00,8.94,1.73
1940-02-15,7.4,2.3,4.4,0.20,0.20,0.00,12.95,1.96
