time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
1940-01-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1940-01-02,-16.6,-30.4,-25.1,0.00,0.00,0.00,7.30,0.27
1940-01-03,-14.2,-26.0,-20.4,0.00,0.00,0.00,7.05,0.32
1940-01-04,-5.5,-20.7,-11.3,0.80,0.00,0.56,4.54,0.33
1940-01-05,-5.6,-15.3,-11.2,0.00,0.00,0.00,6.26,0.39
1940-01-06,-8.0,-15.4,-12.2,0.00,0.00,0.00,7.29,0.41
1940-01-07,-10.8,-14.9,-12.3,0.00,0.00,0.00,6.09,0.48
1940-01-08,-5.1,-13.9,-9.9,0.00,0.00,0.00,6.76,0.54
1940-01-09,-5.6,-15.3,-9.9,2.40,0.00,1.68,4.66,0.35
1940-01-10,-8.4,-17.3,-11.9,5.20,0.00,3.64,6.15,0.36
1940-01-11,-11.0,-21.7,-16.5,0.00,0.00,0.00,6.98,0.37
1940-01-12,-7.4,-17.2,-13.0,0.00,0.00,0.00,6.22,0.41
1940-01-13,-7.7,-17.5,-14.1,0.00,0.00,0.00,7.65,0.42
1940-01-14,-7.3,-15.2,-10.9,0.00,0.00,0.00,7.51,0.58
1940-01-15,-6.7,-13.8,-10.4,0.00,0.00,0.00,7.51,0.49
1940-01-16,-6.4,-14.9,-10.7,0.00,0.00,0.00,5.56,0.39
1940-01-17,-13.2,-19.7,-16.4,2.80,0.00,1.96,4.27,0.23
1940-01-18,-16.6,-20.7,-18.2,0.20,0.00,0.14,6.50,0.26
1940-01-19,-18.4,-26.9,-21.9,0.00,0.00,0.00,8.23,0.29
1940-01-20,-17.7,-27.5,-23.7,0.00,0.00,0.00,8.13,0.30
1940-01-21,-16.8,-28.1,-23.4,0.00,0.00,0.00,8.14,0.30
1940-01-22,-15.4,-28.2,-22.9,0.00,0.00,0.00,8.61,0.35
1940-01-23,-15.7,-27.6,-22.4,0.00,0.00,0.00,8.44,0.33
1940-01-24,-8.3,-22.2,-14.5,0.90,0.00,0.63,5.58,0.41
1940-01-25,-4.6,-16.5,-10.9,0.00,0.00,0.00,8.50,0.57
1940-01-26,-4.6,-16.0,-10.0,0.00,0.00,0.00,8.72,0.64
1940-01-27,-6.4,-12.1,-9.6,3.80,0.00,2.66,3.16,0.31
1940-01-28,-3.4,-14.6,-9.9,0.00,0.00,0.00,8.72,0.64
1940-01-29,-6.7,-16.7,-10.5,0.00,0.00,0.00,9.05,0.64
1940-01-30,-7.7,-12.5,-10.2,2.20,0.00,1.54,5.61,0.44
1940-01-31,-8.7,-14.3,-11.0,1.50,0.00,1.05,8.63,0.55
1940-02-01,-7.0,-18.5,-12.1,5.70,0.00,3.99,4.65,0.35
1940-02-02,-1.0,-14.6,-8.5,0.00,0.00,0.00,10.09,0.81
1940-02-03,-2.2,-9.8,-6.6,0.00,0.00,0.00,9.71,0.84
1940-02-04,-2.7,-9.1,-6.1,0.00,0.00,0.00,6.79,0.65
1940-02-05,0.2,-11.6,-7.4,0.00,0.00,0.00,10.53,0.89
1940-02-06,-5.1,-14.9,-9.8,0.30,0.00,0.21,5.91,0.49
1940-02-07,-2.8,-13.4,-8.7,0.00,0.00,0.00,8.54,0.73
1940-02-08,-1.1,-8.7,-5.3,0.00,0.00,0.00,8.96,0.84
1940-02-09,-2.2,-13.0,-7.8,0.00,0.00,0.00,10.59,0.89
1940-02-10,-2.9,-10.9,-7.2,0.00,0.00,0.00,10.39,0.90
1940-02-11,-9.6,-15.3,-11.9,0.00,0.00,0.00,9.58,0.66
1940-02-12,-5.3,-12.0,-9.2,2.30,0.00,1.61,10.04,0.77
1940-02-13,-14.6,-27.0,-21.3,1.40,0.00,0.98,8.46,0.28
1940-02-14,-23.4,-31.6,-27.5,0.00,0.00,0.00,12.37,0.31
1940-02-15,-16.8,-31.7,-24.9,0.00,0.00,0.00,11.83,0.43
1940-02-16,-14.3,-25.0,-19.8,0.00,0.00,0.00,12.79,0.59
1940-02-17,-11.5,-25.6,-17.7,0.50,0.00,0.35,8.85,0.54
1940-02-18,-7.4,-22.9,-14.5,0.00,0.00,0.00,11.93,0.76
1940-02-19,-3.2,-15.8,-9.1,6.70,0.40,4.41,7.10,0.65
1940-02-20,-1.8,-9.8,-5.5,4.70,0.50,2.94,12.13,1.08
1940-02-21,-2.2,-11.2,-6.7,0.00,0.00,0.00,11.13,1.04
1940-02-22,0.1,-9.9,-5.1,0.00,0.00,0.00,13.45,1.38
1940-02-23,2.9,-6.5,-0.7,0.00,0.00,0.00,12.84,1.47
1940-02-24,4.2,-4.9,-0.7,0.00,0.00,0.00,11.93,1.39
1940-02-25,5.8,-6.2,-1.0,0.00,0.00,0.00,12.54,1.45
1940-02-26,1.5,-7.0,-1.8,0.00,0.00,0.00,13.93,1.38
1940-02-27,1.0,-7.0,-2.8,0.00,0.00,0.00,15.31,1.45
1940-02-28,2.0,-6.3,-2.9,0.00,0.00,0.00,12.83,1.30
1940-02-29,4.4,-7.5,-1.5,0.00,0.00,0.00,11.65,1.32
1940-03-01,3.1,-6.9,-2.6,0.00,0.00,0.00,15.17,1.51
1940-03-02,-2.3,-11.4,-6.6,0.00,0.00,0.00,10.23,0.93
1940-03-03,1.3,-10.9,-4.7,0.00,0.00,0.00,15.81,1.55
1940-03-04,0.5,-11.6,-4.9,0.00,0.00,0.00,16.44,1.62
1940-03-05,-1.0,-11.9,-6.3,0.00,0.00,0.00,14.36,1.41
1940-03-06,-10.3,-14.9,-12.9,0.00,0.00,0.00,15.02,0.90
1940-03-07,-10.1,-16.9,-12.7,0.00,0.00,0.00,16.05,0.94
1940-03-08,-9.0,-18.8,-13.7,0.00,0.00,0.00,17.55,1.08
1940-03-09,-3.8,-20.7,-12.2,0.00,0.00,0.00,17.73,1.44
1940-03-10,0.3,-17.9,-8.5,0.00,0.00,0.00,17.61,1.57
1940-03-11,0.1,-9.9,-5.0,0.00,0.00,0.00,15.31,1.51
1940-03-12,0.8,-7.1,-3.5,3.00,0.00,2.10,12.97,1.30
1940-03-13,0.6,-4.6,-1.4,7.30,0.00,5.11,7.26,0.82
1940-03-14,2.3,-2.8,-0.7,4.00,0.00,2.80,15.20,1.60
1940-03-15,-3.4,-9.0,-5.8,0.20,0.00,0.14,19.40,1.65
1940-03-16,-1.1,-14.0,-7.6,0.00,0.00,0.00,19.48,1.74
1940-03-17,-0.1,-10.4,-5.5,1.20,0.00,0.84,15.39,1.55
1940-03-18,2.8,-7.6,-2.1,0.70,0.00,0.49,15.70,1.72
1940-03-19,4.3,-3.8,0.8,0.00,0.00,0.00,17.71,2.01
1940-03-20,3.6,-9.8,-1.8,0.00,0.00,0.00,18.92,2.11
1940-03-21,4.9,-5.4,-0.3,0.00,0.00,0.00,19.96,2.26
1940-03-22,4.8,-4.1,0.3,0.00,0.00,0.00,19.86,2.25
1940-03-23,3.0,-3.7,0.1,0.00,0.00,0.00,17.44,1.96
1940-03-24,4.4,-3.5,0.1,0.00,0.00,0.00,19.66,2.23
1940-03-25,4.7,-3.9,0.4,0.00,0.00,0.00,15.34,1.79
1940-03-26,4.8,-1.1,2.0,4.20,4.00,0.14,10.78,1.26
1940-03-27,3.2,-3.5,-0.6,15.80,4.40,7.98,13.38,1.48
1940-03-28,-0.7,-8.5,-5.1,4.50,0.00,3.15,11.01,1.06
1940-03-29,-6.8,-13.4,-9.8,0.00,0.00,0.00,21.78,1.42
1940-03-30,-3.1,-18.0,-9.5,0.00,0.00,0.00,19.39,1.58
1940-03-31,1.8,-11.3,-4.8,0.00,0.00,0.00,22.25,2.20
1940-04-01,3.7,-10.5,-2.5,0.00,0.00,0.00,23.12,2.54
1940-04-02,6.2,-7.2,-0.2,0.00,0.00,0.00,22.38,2.67
1940-04-03,1.5,-5.9,-1.6,2.90,0.70,1.54,10.66,1.24
1940-04-04,4.0,-2.8,0.5,1.10,0.30,0.56,21.46,2.34
1940-04-05,0.2,-4.6,-1.9,10.20,0.20,7.00,21.07,1.99
1940-04-06,-0.6,-7.1,-4.2,0.10,0.00,0.07,21.99,1.95
1940-04-07,2.9,-9.1,-2.3,0.00,0.00,0.00,22.19,2.46
1940-04-08,0.4,-6.6,-2.9,0.00,0.00,0.00,22.04,2.28
1940-04-09,-0.2,-12.2,-5.2,0.00,0.00,0.00,21.36,2.08
1940-04-10,-0.9,-9.8,-4.3,0.10,0.00,0.07,18.33,1.80
1940-04-11,-1.1,-6.7,-4.3,0.00,0.00,0.00,24.74,2.17
1940-04-12,-2.5,-10.7,-6.4,0.00,0.00,0.00,25.74,2.15
1940-04-13,-0.1,-12.2,-6.0,0.00,0.00,0.00,21.46,2.06
1940-04-14,-0.8,-7.8,-3.8,0.00,0.00,0.00,24.81,2.36
1940-04-15,3.6,-10.2,-2.3,0.10,0.10,0.00,23.12,2.49
1940-04-16,4.3,-2.5,0.8,2.80,0.20,1.82,15.37,1.68
1940-04-17,6.0,-1.6,1.2,7.40,1.20,4.34,15.02,1.79
1940-04-18,6.5,-0.6,2.5,8.90,6.00,2.03,17.90,2.15
1940-04-19,7.4,-3.1,1.9,2.80,1.50,0.91,20.40,2.54
1940-04-20,5.9,-3.1,1.9,0.20,0.20,0.00,17.22,2.19
1940-04-21,9.1,-5.4,2.4,0.00,0.00,0.00,24.12,3.16
1940-04-22,9.5,-3.8,3.3,0.00,0.00,0.00,24.09,3.23
1940-04-23,9.9,-5.1,3.4,0.00,0.00,0.00,24.39,3.23
1940-04-24,11.0,-1.1,4.1,0.60,0.60,0.00,21.69,2.88
1940-04-25,8.7,-3.3,2.8,7.30,7.20,0.07,12.29,1.67
1940-04-26,8.5,-1.0,3.7,1.00,1.00,0.00,21.65,2.88
1940-04-27,8.5,-3.6,3.3,1.50,1.50,0.00,18.65,2.54
1940-04-28,9.7,-1.3,4.5,0.30,0.30,0.00,16.50,2.37
1940-04-29,11.3,-1.3,4.8,3.50,3.50,0.00,19.55,2.82
1940-04-30,7.1,0.5,3.6,2.90,2.90,0.00,16.13,2.06
1940-05-01,7.2,0.6,3.7,7.50,7.30,0.14,11.50,1.54
1940-05-02,7.4,-0.4,3.8,4.70,4.70,0.00,10.21,1.46
1940-05-03,6.7,1.1,3.3,15.00,14.30,0.49,5.76,0.89
1940-05-04,15.2,-2.0,6.7,0.40,0.40,0.00,23.16,3.61
1940-05-05,12.2,2.1,6.2,1.00,1.00,0.00,20.85,3.04
1940-05-06,8.0,0.2,4.0,0.00,0.00,0.00,22.23,2.99
1940-05-07,10.3,-1.5,4.2,0.00,0.00,0.00,26.78,3.72
1940-05-08,9.9,-0.4,5.4,0.40,0.40,0.00,21.51,3.07
1940-05-09,9.0,-2.3,4.0,5.30,5.30,0.00,18.51,2.53
1940-05-10,10.3,-3.0,4.0,6.00,6.00,0.00,20.61,2.87
1940-05-11,10.4,-2.6,4.7,6.10,6.10,0.00,21.91,3.09
