time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
1940-01-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1940-01-02,1.1,-5.5,-2.4,0.00,0.00,0.00,4.91,0.52
1940-01-03,-1.4,-6.5,-4.5,0.00,0.00,0.00,5.81,0.44
1940-01-04,3.1,-4.2,-0.1,1.60,0.00,1.12,2.32,0.29
1940-01-05,5.6,-0.3,2.5,0.10,0.10,0.00,4.36,0.46
1940-01-06,6.4,-1.3,1.6,0.00,0.00,0.00,5.05,0.51
1940-01-07,3.8,-1.8,0.8,0.00,0.00,0.00,4.26,0.45
1940-01-08,4.1,-4.4,-0.9,0.00,0.00,0.00,6.43,0.58
1940-01-09,2.8,-4.7,-1.2,0.20,0.00,0.14,5.07,0.51
1940-01-10,1.0,-6.1,-1.7,2.00,0.00,1.40,5.39,0.53
1940-01-11,-2.8,-6.4,-4.8,0.50,0.00,0.35,4.99,0.42
1940-01-12,-2.2,-5.4,-3.6,1.20,0.00,0.84,3.80,0.36
1940-01-13,1.6,-6.9,-3.9,0.00,0.00,0.00,7.25,0.57
1940-01-14,5.3,-8.0,-2.9,0.00,0.00,0.00,7.30,0.69
1940-01-15,4.9,-6.3,-2.0,0.00,0.00,0.00,6.80,0.62
1940-01-16,2.9,-5.3,-1.7,0.00,0.00,0.00,5.94,0.55
1940-01-17,-0.1,-4.2,-2.4,2.30,0.00,1.61,4.24,0.39
1940-01-18,-1.3,-5.7,-2.9,1.40,0.00,0.98,6.08,1.02
1940-01-19,-3.4,-8.1,-6.0,0.00,0.00,0.00,8.13,0.76
1940-01-20,-4.4,-8.0,-6.4,0.00,0.00,0.00,6.17,0.48
1940-01-21,-4.0,-10.8,-7.3,0.00,0.00,0.00,8.25,0.64
1940-01-22,-3.1,-11.0,-7.4,0.00,0.00,0.00,8.44,0.66
1940-01-23,1.6,-9.8,-5.6,0.00,0.00,0.00,8.05,0.68
1940-01-24,0.9,-6.1,-2.0,0.80,0.00,0.56,2.57,0.35
1940-01-25,4.0,-5.3,-1.3,0.00,0.00,0.00,7.94,0.74
1940-01-26,4.7,-3.3,-0.0,0.00,0.00,0.00,8.18,0.80
1940-01-27,4.0,-5.3,-1.1,0.40,0.40,0.00,3.22,0.41
1940-01-28,3.2,-8.4,-3.6,0.00,0.00,0.00,8.07,0.70
1940-01-29,2.5,-2.4,0.2,0.80,0.10,0.49,4.82,0.53
1940-01-30,0.9,-2.5,-0.8,2.10,0.00,1.47,4.19,0.41
1940-01-31,-1.0,-4.5,-2.7,0.50,0.00,0.35,4.97,0.45
1940-02-01,-0.7,-7.6,-4.1,7.90,0.00,5.53,2.26,0.25
1940-02-02,2.2,-6.4,-2.2,0.00,0.00,0.00,7.96,0.70
1940-02-03,0.8,-5.5,-2.2,0.00,0.00,0.00,7.54,0.64
1940-02-04,3.3,-4.2,-0.4,0.00,0.00,0.00,6.72,0.69
1940-02-05,5.2,-3.8,0.5,0.00,0.00,0.00,7.70,0.78
1940-02-06,3.3,-3.8,0.3,1.30,1.30,0.00,4.01,0.48
1940-02-07,4.8,-5.4,-0.2,0.00,0.00,0.00,7.01,0.73
1940-02-08,5.9,-1.4,1.9,0.00,0.00,0.00,6.08,0.72
1940-02-09,5.7,-0.2,2.4,0.00,0.00,0.00,4.89,0.60
1940-02-10,6.9,-1.2,2.0,0.00,0.00,0.00,8.70,0.87
1940-02-11,4.2,-1.8,0.8,0.40,0.00,0.28,7.19,1.04
1940-02-12,4.1,-1.4,0.8,0.00,0.00,0.00,9.52,0.91
1940-02-13,-2.6,-9.0,-5.1,0.80,0.00,0.56,9.65,1.16
1940-02-14,-6.3,-14.3,-10.8,0.00,0.00,0.00,12.43,1.06
1940-02-15,-2.5,-15.4,-9.5,0.00,0.00,0.00,12.12,1.02
1940-02-16,2.0,-10.3,-5.2,0.00,0.00,0.00,12.41,1.17
1940-02-17,-0.6,-10.4,-4.6,0.00,0.00,0.00,5.90,0.68
1940-02-18,4.1,-7.7,-2.7,0.00,0.00,0.00,12.48,1.13
1940-02-19,7.2,-5.0,0.8,0.00,0.00,0.00,8.33,1.04
1940-02-20,10.5,-0.4,3.9,0.00,0.00,0.00,12.41,1.50
1940-02-21,3.1,-3.0,1.1,0.40,0.00,0.28,9.01,0.98
1940-02-22,6.1,-4.1,0.8,0.00,0.00,0.00,12.06,1.26
1940-02-23,9.9,-0.6,4.2,0.00,0.00,0.00,11.83,1.47
1940-02-24,11.6,0.4,5.4,0.00,0.00,0.00,11.12,1.46
1940-02-25,9.9,0.2,4.5,0.00,0.00,0.00,9.02,1.11
1940-02-26,9.5,0.1,4.4,0.00,0.00,0.00,11.69,1.31
1940-02-27,10.0,1.7,5.3,0.00,0.00,0.00,11.14,1.29
1940-02-28,8.8,1.3,5.3,0.00,0.00,0.00,9.00,1.11
1940-02-29,11.8,2.4,6.8,0.00,0.00,0.00,10.85,1.39
1940-03-01,11.5,0.2,5.3,0.00,0.00,0.00,13.28,1.57
1940-03-02,4.2,-1.5,2.0,0.90,0.90,0.00,4.83,0.81
1940-03-03,4.2,-3.5,0.4,0.00,0.00,0.00,14.28,1.40
1940-03-04,10.4,-3.0,3.5,0.00,0.00,0.00,15.44,1.82
1940-03-05,14.2,0.7,6.9,0.00,0.00,0.00,14.94,2.31
1940-03-06,6.5,0.6,3.6,0.00,0.00,0.00,15.77,2.79
1940-03-07,6.8,-2.3,1.8,0.00,0.00,0.00,16.20,2.46
1940-03-08,5.9,-2.8,1.5,0.00,0.00,0.00,16.81,2.13
1940-03-09,7.4,-4.0,1.9,0.00,0.00,0.00,16.78,1.99
1940-03-10,11.0,-5.1,3.2,0.00,0.00,0.00,15.40,1.90
1940-03-11,11.5,1.4,6.2,0.00,0.00,0.00,10.75,1.48
1940-03-12,10.6,2.9,6.9,5.80,5.80,0.00,5.46,0.89
1940-03-13,9.3,5.5,7.8,7.20,7.20,0.00,2.20,0.48
1940-03-14,11.6,5.0,8.4,6.60,6.60,0.00,8.52,1.21
1940-03-15,13.4,2.6,7.2,0.00,0.00,0.00,18.37,2.77
1940-03-16,11.2,0.4,5.5,0.00,0.00,0.00,18.05,2.40
1940-03-17,11.3,0.5,6.4,0.00,0.00,0.00,14.57,1.95
1940-03-18,12.8,0.7,6.7,0.00,0.00,0.00,16.68,2.28
1940-03-19,13.1,4.4,8.1,0.00,0.00,0.00,16.82,2.20
1940-03-20,13.9,1.8,7.9,0.00,0.00,0.00,13.66,1.88
1940-03-21,15.8,6.0,10.0,0.00,0.00,0.00,15.23,2.20
1940-03-22,13.6,5.8,9.6,0.00,0.00,0.00,12.19,1.82
1940-03-23,13.8,5.7,9.9,0.00,0.00,0.00,11.02,1.67
1940-03-24,14.8,7.0,10.8,0.30,0.30,0.00,13.83,2.04
1940-03-25,15.7,8.3,11.9,0.00,0.00,0.00,9.36,1.61
1940-03-26,14.1,10.5,11.8,3.60,3.60,0.00,4.98,0.92
1940-03-27,16.0,7.8,11.0,9.30,9.30,0.00,9.66,1.49
1940-03-28,12.2,4.5,7.5,3.50,3.50,0.00,11.49,1.60
1940-03-29,10.6,1.7,5.4,2.80,2.50,0.21,20.63,2.82
1940-03-30,8.9,-0.2,4.6,0.00,0.00,0.00,18.66,2.54
1940-03-31,13.3,0.5,6.3,0.00,0.00,0.00,20.77,2.78
1940-04-01,13.6,1.1,7.4,0.00,0.00,0.00,21.35,2.90
1940-04-02,15.0,4.3,9.2,0.00,0.00,0.00,20.89,2.89
1940-04-03,13.2,3.5,8.6,0.90,0.90,0.00,11.56,1.71
1940-04-04,19.4,5.0,12.0,0.00,0.00,0.00,20.75,3.44
1940-04-05,17.9,5.0,11.7,0.00,0.00,0.00,22.19,4.03
1940-04-06,16.6,6.7,10.9,0.00,0.00,0.00,21.87,4.04
1940-04-07,14.6,6.9,10.6,0.30,0.30,0.00,21.56,3.56
1940-04-08,13.0,5.7,8.9,0.90,0.90,0.00,18.95,2.77
1940-04-09,12.1,3.3,7.7,1.20,1.20,0.00,19.48,2.60
1940-04-10,12.4,3.1,8.2,0.80,0.80,0.00,18.63,2.62
1940-04-11,14.7,2.5,8.4,0.00,0.00,0.00,22.28,3.09
1940-04-12,14.1,1.9,7.7,0.10,0.10,0.00,23.68,3.50
1940-04-13,12.6,3.4,7.5,0.10,0.10,0.00,21.13,2.96
1940-04-14,12.1,3.6,7.9,0.50,0.50,0.00,22.45,3.01
1940-04-15,17.2,4.1,10.2,0.00,0.00,0.00,21.57,3.31
1940-04-16,16.0,6.7,11.2,0.30,0.30,0.00,10.71,1.81
1940-04-17,17.3,9.1,12.2,4.60,4.60,0.00,9.93,1.86
